name,external_identifier
CASEFINDER_USER,"CN=CASEFINDER_USER,OU=Global Groups,OU=ENH,DC=enhnet,DC=org"
CASEFINDER_ADMIN,"CN=CASEFINDER_ADMIN,OU=Global Groups,OU=ENH,DC=enhnet,DC=org"
